"Rk","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Team","Year"
1,"Toshiki Abe",26,25,53,49,2,9,1,0,1,4,1,1,2,10,0.184,0.212,0.265,0.477,13,2,0,1,1,0,"Chunichi Dragons",2016
2,"Ryuichiro Akada*",28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2016
3,"Kazuyuki Akasaka",26,7,10,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2016
4,"Masahiro Araki",38,93,321,289,25,71,8,1,1,16,13,0,15,39,0.246,0.29,0.291,0.581,84,9,3,14,0,0,"Chunichi Dragons",2016
5,"Naomichi Donoue",27,131,507,456,38,116,25,3,6,46,1,1,27,69,0.254,0.298,0.362,0.66,165,14,2,20,2,0,"Chunichi Dragons",2016
6,"Issei Endo*",27,27,71,61,6,11,3,0,0,3,1,1,5,11,0.18,0.265,0.23,0.494,14,0,2,3,0,0,"Chunichi Dragons",2016
7,"Atsushi Fujii",35,87,187,167,15,36,5,1,3,19,0,0,12,45,0.216,0.265,0.311,0.577,52,3,0,6,2,1,"Chunichi Dragons",2016
8,"Hiroto Fuku*",24,27,4,4,1,1,0,0,0,1,0,0,0,3,0.25,0.25,0.25,0.5,1,0,0,0,0,0,"Chunichi Dragons",2016
9,"Nobumasa Fukuda",27,89,306,270,28,72,8,0,10,37,0,1,28,42,0.267,0.346,0.407,0.754,110,9,6,0,2,1,"Chunichi Dragons",2016
10,"Tatsuro Hamada*",21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2016
11,"Anderson Hernandez#",33,64,256,233,25,58,12,0,5,26,1,1,17,61,0.249,0.298,0.365,0.662,85,6,0,4,2,0,"Chunichi Dragons",2016
12,"Ryosuke Hirata",28,118,494,416,61,103,24,1,14,73,4,2,72,89,0.248,0.358,0.411,0.769,171,5,2,0,4,1,"Chunichi Dragons",2016
13,"Masataka Iryo*",26,13,31,31,2,6,1,0,1,1,0,0,0,7,0.194,0.194,0.323,0.516,10,0,0,0,0,0,"Chunichi Dragons",2016
14,"Shun Ishikawa",26,2,6,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,"Chunichi Dragons",2016
15,"Junki Ito*",25,6,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2016
16,"Kyohei Kamezawa*",27,59,137,124,12,28,4,0,0,5,5,3,8,20,0.226,0.271,0.258,0.529,32,1,0,4,1,0,"Chunichi Dragons",2016
17,"Takuma Kato",24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2016
18,"Iori Katsura",24,59,164,143,7,26,5,0,3,11,0,0,11,38,0.182,0.248,0.28,0.528,40,3,2,7,1,2,"Chunichi Dragons",2016
19,"Takuya Kinoshita",24,9,19,18,1,5,2,0,1,2,0,0,1,6,0.278,0.316,0.556,0.871,10,1,0,0,0,0,"Chunichi Dragons",2016
20,"Hiroki Kondo",23,21,49,43,5,8,2,0,2,4,0,0,3,13,0.186,0.255,0.372,0.627,16,0,1,2,0,0,"Chunichi Dragons",2016
21,"Takahito Kudo*",35,74,72,63,12,19,2,1,0,3,5,2,4,14,0.302,0.371,0.365,0.737,23,0,3,2,0,0,"Chunichi Dragons",2016
22,"Masato Matsui*",28,4,7,7,1,1,0,0,0,0,0,0,0,4,0.143,0.143,0.143,0.286,1,0,0,0,0,0,"Chunichi Dragons",2016
23,"Yusuke Matsui",28,14,21,21,1,4,2,0,0,0,0,0,0,8,0.19,0.19,0.286,0.476,6,0,0,0,0,0,"Chunichi Dragons",2016
24,"Taiki Mitsumata",24,15,19,16,1,2,0,0,0,0,0,0,1,4,0.125,0.176,0.125,0.301,2,0,0,2,0,0,"Chunichi Dragons",2016
25,"Hayato Mizowaki*",22,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2016
26,"Masahiko Morino*",37,68,170,142,14,38,6,0,1,15,0,0,26,24,0.268,0.388,0.331,0.719,47,1,2,0,0,0,"Chunichi Dragons",2016
27,"Ricardo Nanita*",35,92,340,319,32,91,16,0,8,35,0,1,15,52,0.285,0.318,0.411,0.728,131,9,2,0,4,0,"Chunichi Dragons",2016
28,"Drew Naylor",30,7,15,12,2,3,2,0,0,0,0,0,1,3,0.25,0.308,0.417,0.724,5,0,0,2,0,0,"Chunichi Dragons",2016
29,"Kei Nomoto*",31,48,55,49,2,8,2,0,0,7,0,0,4,13,0.163,0.218,0.204,0.422,10,1,0,0,2,0,"Chunichi Dragons",2016
30,"Jordan Norberto*",29,22,41,39,0,2,0,0,0,0,0,0,0,20,0.051,0.051,0.051,0.103,2,1,0,2,0,0,"Chunichi Dragons",2016
31,"Shinnosuke Ogasawara*",18,15,17,17,0,3,0,0,0,0,0,0,0,8,0.176,0.176,0.176,0.353,3,0,0,0,0,0,"Chunichi Dragons",2016
32,"Ryosuke Oguma",25,14,19,16,0,3,1,0,0,2,0,0,1,9,0.188,0.235,0.25,0.485,4,0,0,2,0,0,"Chunichi Dragons",2016
33,"Yudai Ono*",27,19,39,33,1,3,0,0,0,1,0,0,0,21,0.091,0.091,0.091,0.182,3,0,0,6,0,0,"Chunichi Dragons",2016
34,"Yohei Oshima*",30,143,656,599,80,175,27,9,3,27,26,12,46,69,0.292,0.348,0.382,0.73,229,3,6,4,1,1,"Chunichi Dragons",2016
35,"Yu Sato*",23,14,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2016
36,"Leyson Septimo*",30,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2016
37,"Daisuke Sobue*",28,46,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2016
38,"Shota Sugiyama",25,104,311,269,26,70,11,3,3,27,1,2,30,60,0.26,0.34,0.357,0.697,96,8,3,8,1,1,"Chunichi Dragons",2016
39,"Shuhei Takahashi*",22,75,283,255,28,64,14,2,4,29,0,1,22,84,0.251,0.319,0.369,0.688,94,7,4,1,1,0,"Chunichi Dragons",2016
40,"Shingo Takeyama",32,15,5,4,1,0,0,0,0,0,0,0,1,2,0,0.2,0,0.2,0,0,0,0,0,0,"Chunichi Dragons",2016
41,"Tetsuya Tani",30,52,91,82,2,17,2,0,0,6,1,0,8,16,0.207,0.278,0.232,0.509,19,4,0,1,0,0,"Chunichi Dragons",2016
42,"Shota Tomonaga*",25,12,10,9,2,2,0,0,0,0,0,0,0,4,0.222,0.222,0.222,0.444,2,0,0,1,0,0,"Chunichi Dragons",2016
43,"Raul Valdes*",38,20,39,33,2,4,1,0,1,3,0,0,2,14,0.121,0.171,0.242,0.414,8,0,0,4,0,0,"Chunichi Dragons",2016
44,"Dayan Viciedo",27,119,471,416,63,114,22,0,22,68,1,0,44,68,0.274,0.352,0.486,0.838,202,13,8,0,3,0,"Chunichi Dragons",2016
45,"Shunta Wakamatsu",21,19,35,27,0,2,0,0,0,1,0,0,1,12,0.074,0.103,0.074,0.178,2,1,0,6,1,0,"Chunichi Dragons",2016
46,"Tomoya Yagi*",32,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1,0,0,0,0,0,"Chunichi Dragons",2016
47,"Daisuke Yamai",38,33,12,11,0,0,0,0,0,0,0,0,1,7,0,0.083,0,0.083,0,0,0,0,0,0,"Chunichi Dragons",2016
48,"Kazuki Yoshimi",31,21,41,34,1,4,1,0,0,1,0,0,2,18,0.118,0.167,0.147,0.314,5,2,0,5,0,0,"Chunichi Dragons",2016
1,"Takumi Akiyama*",25,8,3,2,0,2,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,1,0,0,"Hanshin Tigers",2016
2,"Yuya Ando",38,50,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2016
3,"Koyo Aoyagi",22,13,19,17,0,2,1,0,0,0,0,0,0,9,0.118,0.118,0.176,0.294,3,0,0,2,0,0,"Hanshin Tigers",2016
4,"Ryota Arai",32,46,88,78,10,12,3,0,3,8,1,0,7,21,0.154,0.23,0.308,0.538,24,1,1,1,1,0,"Hanshin Tigers",2016
5,"Fumiya Araki*",28,46,73,57,13,14,2,0,0,2,2,0,8,10,0.246,0.348,0.281,0.629,16,1,1,7,0,1,"Hanshin Tigers",2016
6,"Rafael Dolis",28,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2016
7,"Taiga Egoshi",23,72,217,191,33,40,6,1,7,20,4,3,18,78,0.209,0.284,0.361,0.645,69,2,3,2,3,0,"Hanshin Tigers",2016
8,"Daiki Enokida*",29,35,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,0,"Hanshin Tigers",2016
9,"Kyuji Fujikawa*",35,43,8,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2016
10,"Shunsuke Fujikawa",28,41,56,43,4,8,2,0,0,2,2,1,9,12,0.186,0.321,0.233,0.553,10,1,0,3,1,0,"Hanshin Tigers",2016
11,"Shintaro Fujinami",22,26,57,48,4,8,2,1,0,1,0,0,2,30,0.167,0.2,0.25,0.45,12,1,0,7,0,0,"Hanshin Tigers",2016
12,"Kosuke Fukudome*",39,131,523,453,52,141,25,3,11,59,0,1,61,78,0.311,0.392,0.453,0.845,205,6,3,0,6,5,"Hanshin Tigers",2016
13,"Mauro Gomez",31,139,554,498,58,127,20,0,22,79,2,1,48,130,0.255,0.325,0.428,0.753,213,13,5,0,3,3,"Hanshin Tigers",2016
14,"Matt Hague",30,31,124,104,13,24,6,0,2,11,1,0,16,21,0.231,0.339,0.346,0.685,36,3,2,0,2,0,"Hanshin Tigers",2016
15,"Fumihito Haraguchi",24,107,364,318,38,95,16,0,11,46,1,2,26,52,0.299,0.376,0.453,0.829,144,8,15,2,3,0,"Hanshin Tigers",2016
16,"Fumiya Hojo",21,122,438,385,44,105,25,1,5,33,6,0,38,91,0.273,0.341,0.382,0.723,147,10,4,7,4,4,"Hanshin Tigers",2016
